value,datetime,datetime_utc,tz_time,geo_id,geo_name
0.0,2025-07-23 00:00:00+02:00,2025-07-22T22:00:00Z,2025-07-22T22:00:00.000Z,8741,Península
0.0,2025-07-23 00:15:00+02:00,2025-07-22T22:15:00Z,2025-07-22T22:15:00.000Z,8741,Península
0.0,2025-07-23 00:30:00+02:00,2025-07-22T22:30:00Z,2025-07-22T22:30:00.000Z,8741,Península
0.0,2025-07-23 00:45:00+02:00,2025-07-22T22:45:00Z,2025-07-22T22:45:00.000Z,8741,Península
0.0,2025-07-23 01:00:00+02:00,2025-07-22T23:00:00Z,2025-07-22T23:00:00.000Z,8741,Península
0.0,2025-07-23 01:15:00+02:00,2025-07-22T23:15:00Z,2025-07-22T23:15:00.000Z,8741,Península
0.0,2025-07-23 01:30:00+02:00,2025-07-22T23:30:00Z,2025-07-22T23:30:00.000Z,8741,Península
0.0,2025-07-23 01:45:00+02:00,2025-07-22T23:45:00Z,2025-07-22T23:45:00.000Z,8741,Península
0.0,2025-07-23 02:00:00+02:00,2025-07-23T00:00:00Z,2025-07-23T00:00:00.000Z,8741,Península
0.0,2025-07-23 02:15:00+02:00,2025-07-23T00:15:00Z,2025-07-23T00:15:00.000Z,8741,Península
0.0,2025-07-23 02:30:00+02:00,2025-07-23T00:30:00Z,2025-07-23T00:30:00.000Z,8741,Península
0.0,2025-07-23 02:45:00+02:00,2025-07-23T00:45:00Z,2025-07-23T00:45:00.000Z,8741,Península
0.0,2025-07-23 03:00:00+02:00,2025-07-23T01:00:00Z,2025-07-23T01:00:00.000Z,8741,Península
0.0,2025-07-23 03:15:00+02:00,2025-07-23T01:15:00Z,2025-07-23T01:15:00.000Z,8741,Península
0.0,2025-07-23 03:30:00+02:00,2025-07-23T01:30:00Z,2025-07-23T01:30:00.000Z,8741,Península
0.0,2025-07-23 03:45:00+02:00,2025-07-23T01:45:00Z,2025-07-23T01:45:00.000Z,8741,Península
0.0,2025-07-23 04:00:00+02:00,2025-07-23T02:00:00Z,2025-07-23T02:00:00.000Z,8741,Península
0.0,2025-07-23 04:15:00+02:00,2025-07-23T02:15:00Z,2025-07-23T02:15:00.000Z,8741,Península
0.0,2025-07-23 04:30:00+02:00,2025-07-23T02:30:00Z,2025-07-23T02:30:00.000Z,8741,Península
0.0,2025-07-23 04:45:00+02:00,2025-07-23T02:45:00Z,2025-07-23T02:45:00.000Z,8741,Península
0.0,2025-07-23 05:00:00+02:00,2025-07-23T03:00:00Z,2025-07-23T03:00:00.000Z,8741,Península
0.0,2025-07-23 05:15:00+02:00,2025-07-23T03:15:00Z,2025-07-23T03:15:00.000Z,8741,Península
0.0,2025-07-23 05:30:00+02:00,2025-07-23T03:30:00Z,2025-07-23T03:30:00.000Z,8741,Península
0.0,2025-07-23 05:45:00+02:00,2025-07-23T03:45:00Z,2025-07-23T03:45:00.000Z,8741,Península
0.0,2025-07-23 06:00:00+02:00,2025-07-23T04:00:00Z,2025-07-23T04:00:00.000Z,8741,Península
0.0,2025-07-23 06:15:00+02:00,2025-07-23T04:15:00Z,2025-07-23T04:15:00.000Z,8741,Península
0.0,2025-07-23 06:30:00+02:00,2025-07-23T04:30:00Z,2025-07-23T04:30:00.000Z,8741,Península
0.0,2025-07-23 06:45:00+02:00,2025-07-23T04:45:00Z,2025-07-23T04:45:00.000Z,8741,Península
0.0,2025-07-23 07:00:00+02:00,2025-07-23T05:00:00Z,2025-07-23T05:00:00.000Z,8741,Península
0.0,2025-07-23 07:15:00+02:00,2025-07-23T05:15:00Z,2025-07-23T05:15:00.000Z,8741,Península
0.0,2025-07-23 07:30:00+02:00,2025-07-23T05:30:00Z,2025-07-23T05:30:00.000Z,8741,Península
0.0,2025-07-23 07:45:00+02:00,2025-07-23T05:45:00Z,2025-07-23T05:45:00.000Z,8741,Península
0.0,2025-07-23 08:00:00+02:00,2025-07-23T06:00:00Z,2025-07-23T06:00:00.000Z,8741,Península
0.0,2025-07-23 08:15:00+02:00,2025-07-23T06:15:00Z,2025-07-23T06:15:00.000Z,8741,Península
